pickup_location,drop_location,pickup_date,pickup_time,pickup_hour,time_of_day,weekday,is_weekend,season,passenger_count,trip_distance_km,traffic_level,actual_eta_minutes,average_speed,surge_multiplier
Harlem,Harlem,08-05-2016,15:30,15,Afternoon,Sunday,1,Spring,1,2.41,Low,8.6,16.8,1.0
Midwood,Great Kills,09-06-2016,14:53,14,Afternoon,Thursday,0,Summer,2,12.86,Low,28.8,26.8,1.0
Harlem,East Harlem,08-03-2016,10:03,10,Morning,Tuesday,0,Spring,1,1.75,Medium,8.7,12.1,1.3
Upper West Side,Upper West Side,12-06-2016,16:41,16,Afternoon,Sunday,1,Summer,1,1.99,Medium,11.4,10.5,1.3
Arrochar,Bayswater,27-03-2016,18:21,18,Evening,Sunday,1,Spring,4,4.07,High,13.7,17.8,1.8
Upper West Side,Upper West Side,01-06-2016,20:17,20,Evening,Wednesday,0,Summer,1,4.17,Medium,15.1,16.6,1.3
Bedford-Stuyvesant,Upper West Side,04-05-2016,14:55,14,Afternoon,Wednesday,0,Spring,3,1.71,Low,9.6,10.7,1.0
Upper West Side,Murray Hill,22-06-2016,05:48,5,Night,Wednesday,0,Summer,6,10.61,Low,15.8,40.3,1.0
Hell's Kitchen,Fort Greene,09-05-2016,08:41,8,Morning,Monday,0,Spring,1,4.95,High,20.9,14.2,1.8
Bedford-Stuyvesant,West Village,27-01-2016,17:02,17,Afternoon,Wednesday,0,Winter,1,1.51,High,11.4,7.9,1.8
Greenpoint,Murray Hill,02-06-2016,12:36,12,Afternoon,Thursday,0,Summer,2,0.98,Low,9.8,6.0,1.0
Murray Hill,East Harlem,07-04-2016,07:48,7,Morning,Thursday,0,Spring,1,2.55,Medium,9.6,15.9,1.3
Inwood,Hell's Kitchen,20-01-2016,19:36,19,Evening,Wednesday,0,Winter,2,3.8,High,19.8,11.5,1.8
Bedford-Stuyvesant,Harlem,21-02-2016,02:22,2,Night,Sunday,1,Winter,1,7.21,Low,23.2,18.6,1.0
Hell's Kitchen,Murray Hill,11-04-2016,09:20,9,Morning,Monday,0,Spring,1,3.16,High,11.9,15.9,1.8
Harlem,East Harlem,16-05-2016,16:07,16,Afternoon,Monday,0,Spring,1,0.57,Medium,7.4,4.6,1.3
Midtown,East Harlem,20-05-2016,18:54,18,Evening,Friday,0,Spring,1,4.3,High,10.0,25.8,1.8
Park Slope,Kensington,16-03-2016,20:08,20,Evening,Wednesday,0,Spring,2,3.06,Medium,16.1,11.4,1.3
Clinton Hill,Upper West Side,29-04-2016,09:05,9,Morning,Friday,0,Spring,1,0.87,High,5.5,9.5,1.8
Fort Greene,Chinatown,18-01-2016,11:44,11,Morning,Monday,0,Winter,1,1.69,Low,4.4,23.0,1.0
Upper West Side,Inwood,25-02-2016,17:23,17,Afternoon,Thursday,0,Winter,1,1.14,High,5.9,11.6,1.8
Williamsburg,Murray Hill,14-01-2016,15:08,15,Afternoon,Thursday,0,Winter,1,1.21,Low,4.7,15.4,1.0
Upper West Side,South Slope,13-01-2016,11:33,11,Morning,Wednesday,0,Winter,2,0.78,Low,1.4,33.4,1.0
West Village,Upper West Side,15-06-2016,18:23,18,Evening,Wednesday,0,Summer,5,2.1,High,8.9,14.2,1.8
South Slope,South Slope,19-05-2016,18:06,18,Evening,Thursday,0,Spring,1,1.24,High,4.9,15.2,1.8
Chinatown,East Harlem,17-05-2016,08:04,8,Morning,Tuesday,0,Spring,3,1.7,High,7.3,14.0,1.8
Murray Hill,Harlem,03-03-2016,07:45,7,Morning,Thursday,0,Spring,1,1.54,Medium,7.1,13.0,1.3
Williamsburg,Hell's Kitchen,22-01-2016,09:04,9,Morning,Friday,0,Winter,1,3.18,High,11.6,16.4,1.8
Harlem,Bedford-Stuyvesant,28-06-2016,17:55,17,Afternoon,Tuesday,0,Summer,1,5.95,High,34.8,10.3,1.8
Sheepshead Bay,Sheepshead Bay,11-01-2016,18:06,18,Evening,Monday,0,Winter,1,1.81,High,6.8,16.0,1.8
Harlem,Crown Heights,23-02-2016,18:57,18,Evening,Tuesday,0,Winter,5,0.92,High,7.2,7.7,1.8
Upper West Side,Murray Hill,05-06-2016,23:34,23,Evening,Sunday,1,Summer,2,8.85,Low,22.3,23.8,1.0
Midwood,Midwood,21-01-2016,10:29,10,Morning,Thursday,0,Winter,1,1.38,Medium,9.7,8.5,1.3
Harlem,Upper West Side,18-03-2016,20:21,20,Evening,Friday,0,Spring,1,4.42,Medium,12.4,21.4,1.3
Bedford-Stuyvesant,Hell's Kitchen,11-02-2016,22:22,22,Evening,Thursday,0,Winter,2,2.79,Low,8.8,19.0,1.0
Williamsburg,Harlem,27-01-2016,06:38,6,Morning,Wednesday,0,Winter,1,2.81,Low,13.3,12.7,1.0
Midtown,West Village,27-03-2016,22:46,22,Evening,Sunday,1,Spring,2,2.6,Low,8.9,17.5,1.0
Sheepshead Bay,New Dorp Beach,06-05-2016,18:59,18,Evening,Friday,0,Spring,2,14.55,High,39.9,21.9,1.8
Clinton Hill,Upper West Side,05-06-2016,18:07,18,Evening,Sunday,1,Summer,1,0.81,High,4.4,11.0,1.8
Bedford-Stuyvesant,Park Slope,14-02-2016,17:29,17,Afternoon,Sunday,1,Winter,1,1.08,High,6.4,10.1,1.8
Rossville,Eltingville,06-06-2016,21:04,21,Evening,Monday,0,Summer,4,12.93,Low,28.2,27.5,1.0
Williamsburg,Upper West Side,26-03-2016,21:39,21,Evening,Saturday,1,Spring,2,3.27,Low,12.5,15.7,1.0
Williamsburg,Fort Greene,07-02-2016,00:56,0,Night,Sunday,1,Winter,5,1.32,Low,7.6,10.4,1.0
Upper West Side,Upper West Side,01-05-2016,18:40,18,Evening,Sunday,1,Spring,1,0.69,High,4.3,9.6,1.8
Park Slope,Kensington,01-01-2016,03:20,3,Night,Friday,0,Winter,1,5.78,Low,22.1,15.7,1.0
Harlem,Upper West Side,22-03-2016,22:35,22,Evening,Tuesday,0,Spring,1,2.4,Low,5.7,25.3,1.0
South Slope,Upper West Side,30-04-2016,22:03,22,Evening,Saturday,1,Spring,2,0.57,Low,2.9,11.8,1.0
Murray Hill,Upper West Side,08-06-2016,21:42,21,Evening,Wednesday,0,Summer,1,2.22,Low,9.9,13.5,1.0
East Harlem,Murray Hill,15-03-2016,10:21,10,Morning,Tuesday,0,Spring,2,1.96,Medium,19.7,6.0,1.3
Chinatown,Bedford-Stuyvesant,27-04-2016,09:28,9,Morning,Wednesday,0,Spring,1,7.52,High,13.7,32.9,1.8
East Harlem,Fort Greene,25-01-2016,21:40,21,Evening,Monday,0,Winter,1,2.22,Low,6.9,19.3,1.0
Midtown,Harlem,19-03-2016,01:20,1,Night,Saturday,1,Spring,1,6.75,Low,17.0,23.8,1.0
Oakwood,Tompkinsville,24-06-2016,01:03,1,Night,Friday,0,Summer,6,11.08,Low,12.2,54.5,1.0
Greenpoint,Williamsburg,02-06-2016,16:48,16,Afternoon,Thursday,0,Summer,1,1.4,Medium,9.3,9.0,1.3
Inwood,Bedford-Stuyvesant,17-04-2016,02:25,2,Night,Sunday,1,Spring,5,3.27,Low,9.3,21.1,1.0
Harlem,Harlem,04-01-2016,18:17,18,Evening,Monday,0,Winter,1,1.02,High,4.8,12.8,1.8
Tottenville,Rossville,12-05-2016,21:55,21,Evening,Thursday,0,Spring,1,16.43,Low,26.0,37.9,1.0
Crown Heights,Bedford-Stuyvesant,26-04-2016,06:11,6,Morning,Tuesday,0,Spring,3,2.54,Low,5.4,28.2,1.0
Bedford-Stuyvesant,Crown Heights,19-06-2016,09:55,9,Morning,Sunday,1,Summer,2,1.4,High,7.4,11.4,1.8
Hell's Kitchen,Fort Greene,16-03-2016,23:06,23,Evening,Wednesday,0,Spring,1,4.84,Low,9.7,29.9,1.0
East Harlem,Fort Greene,20-05-2016,19:01,19,Evening,Friday,0,Spring,1,2.73,High,21.3,7.7,1.8
West Village,Hell's Kitchen,03-05-2016,18:50,18,Evening,Tuesday,0,Spring,5,2.65,High,13.3,12.0,1.8
Tottenville,Great Kills,16-06-2016,11:11,11,Morning,Thursday,0,Summer,1,9.21,Low,29.7,18.6,1.0
Upper West Side,Park Slope,19-03-2016,22:09,22,Evening,Saturday,1,Spring,1,0.94,Low,3.7,15.2,1.0
South Slope,Chinatown,26-05-2016,19:22,19,Evening,Thursday,0,Spring,1,3.29,High,12.7,15.5,1.8
Inwood,Bedford-Stuyvesant,21-06-2016,22:22,22,Evening,Tuesday,0,Summer,1,1.29,Low,3.9,19.8,1.0
East Harlem,Midtown,10-01-2016,17:54,17,Afternoon,Sunday,1,Winter,1,5.7,High,13.2,25.9,1.8
East Harlem,Bedford-Stuyvesant,29-05-2016,21:37,21,Evening,Sunday,1,Spring,1,8.33,Low,21.8,22.9,1.0
Greenpoint,East Harlem,15-03-2016,22:56,22,Evening,Tuesday,0,Spring,2,0.66,Low,4.5,8.8,1.0
Fort Greene,Upper West Side,19-03-2016,21:09,21,Evening,Saturday,1,Spring,1,1.97,Low,8.7,13.6,1.0
Hell's Kitchen,Harlem,24-03-2016,18:30,18,Evening,Thursday,0,Spring,2,0.49,High,2.0,14.7,1.8
East Harlem,Hell's Kitchen,08-04-2016,00:26,0,Night,Friday,0,Spring,4,1.68,Low,8.8,11.5,1.0
Tottenville,Eltingville,20-03-2016,19:25,19,Evening,Sunday,1,Spring,1,25.06,High,35.2,42.7,1.8
Tottenville,Tottenville,25-01-2016,21:05,21,Evening,Monday,0,Winter,1,26.73,Low,56.2,28.5,1.0
South Slope,South Slope,25-06-2016,11:01,11,Morning,Saturday,1,Summer,1,2.75,Low,17.1,9.6,1.0
Rosebank,Bull's Head,16-06-2016,14:10,14,Afternoon,Thursday,0,Summer,1,0.79,Low,5.1,9.3,1.0
Park Slope,Inwood,05-02-2016,05:48,5,Night,Friday,0,Winter,6,2.69,Low,8.6,18.8,1.0
Murray Hill,Hell's Kitchen,17-03-2016,20:33,20,Evening,Thursday,0,Spring,2,6.83,Medium,7.4,55.4,1.3
Midtown,Midtown,18-04-2016,17:23,17,Afternoon,Monday,0,Spring,1,0.88,High,3.4,15.5,1.8
East Harlem,Clinton Hill,19-02-2016,12:29,12,Afternoon,Friday,0,Winter,1,2.41,Low,10.9,13.3,1.0
Upper West Side,Williamsburg,13-03-2016,19:38,19,Evening,Sunday,1,Spring,1,1.91,High,14.3,8.0,1.8
Crown Heights,Harlem,01-05-2016,11:49,11,Morning,Sunday,1,Spring,2,2.14,Low,5.4,23.8,1.0
Upper West Side,Midtown,18-01-2016,15:52,15,Afternoon,Monday,0,Winter,3,2.23,Low,8.9,15.0,1.0
Great Kills,Woodrow,12-06-2016,05:11,5,Night,Sunday,1,Summer,1,40.71,Low,40.8,59.9,1.0
East Village,East Village,24-04-2016,00:19,0,Night,Sunday,1,Spring,2,0.62,Low,5.8,6.4,1.0
Chinatown,Upper West Side,04-01-2016,21:09,21,Evening,Monday,0,Winter,1,3.42,Low,10.3,19.9,1.0
South Slope,Murray Hill,08-04-2016,07:05,7,Morning,Friday,0,Spring,1,5.66,Medium,14.5,23.4,1.3
Bedford-Stuyvesant,South Slope,12-01-2016,09:07,9,Morning,Tuesday,0,Winter,5,4.86,High,23.4,12.5,1.8
East Village,Crown Heights,17-02-2016,00:54,0,Night,Wednesday,0,Winter,3,52.67,Low,42.2,74.9,1.0
South Slope,Chelsea,16-06-2016,08:38,8,Morning,Thursday,0,Summer,1,1.7,High,7.4,13.8,1.8
West Village,East Harlem,11-04-2016,10:59,10,Morning,Monday,0,Spring,1,0.95,Medium,6.3,9.0,1.3
Flatlands,Sheepshead Bay,25-05-2016,13:50,13,Afternoon,Wednesday,0,Spring,1,5.11,Low,9.5,32.3,1.0
Midtown,Bedford-Stuyvesant,20-05-2016,10:53,10,Morning,Friday,0,Spring,2,8.21,Medium,21.7,22.7,1.3
Hell's Kitchen,Upper West Side,26-01-2016,02:01,2,Night,Tuesday,0,Winter,1,7.55,Low,23.4,19.4,1.0
Bedford-Stuyvesant,East Harlem,17-03-2016,11:51,11,Morning,Thursday,0,Spring,5,5.14,Low,18.5,16.7,1.0
Chinatown,South Slope,24-02-2016,16:25,16,Afternoon,Wednesday,0,Winter,1,0.61,Medium,4.6,8.0,1.3
Murray Hill,Hell's Kitchen,13-02-2016,21:41,21,Evening,Saturday,1,Winter,4,1.58,Low,12.3,7.7,1.0
Bedford-Stuyvesant,Upper West Side,29-03-2016,14:46,14,Afternoon,Tuesday,0,Spring,1,3.54,Low,20.0,10.6,1.0
Kensington,Harlem,26-04-2016,08:25,8,Morning,Tuesday,0,Spring,1,5.38,High,27.1,11.9,1.8
Arverne,Oakwood,09-02-2016,20:42,20,Evening,Tuesday,0,Winter,1,19.25,Medium,24.1,47.9,1.3
Bedford-Stuyvesant,Bedford-Stuyvesant,09-05-2016,20:18,20,Evening,Monday,0,Spring,1,1.83,Medium,7.5,14.6,1.3
Lower East Side,South Slope,02-04-2016,00:00,0,Night,Saturday,1,Spring,2,1.99,Low,2.8,42.6,1.0
Bedford-Stuyvesant,Fort Greene,21-03-2016,12:58,12,Afternoon,Monday,0,Spring,1,1.45,Low,8.3,10.5,1.0
Tottenville,Prince's Bay,08-05-2016,10:59,10,Morning,Sunday,1,Spring,1,4.32,Medium,8.2,31.6,1.3
Kensington,Bedford-Stuyvesant,29-02-2016,21:32,21,Evening,Monday,0,Winter,1,1.61,Low,5.4,17.9,1.0
Tompkinsville,"Bay Terrace, Staten Island",14-04-2016,15:08,15,Afternoon,Thursday,0,Spring,1,12.9,Low,47.1,16.4,1.0
Clinton Hill,Upper West Side,05-02-2016,03:41,3,Night,Friday,0,Winter,1,12.16,Low,18.2,40.1,1.0
Harlem,East Harlem,14-04-2016,23:10,23,Evening,Thursday,0,Spring,1,3.99,Low,14.2,16.9,1.0
West Village,Upper West Side,14-06-2016,07:46,7,Morning,Tuesday,0,Summer,1,0.55,Medium,24.9,1.3,1.3
Bay Ridge,Arden Heights,12-04-2016,15:11,15,Afternoon,Tuesday,0,Spring,1,13.48,Low,37.2,21.7,1.0
Upper West Side,Bedford-Stuyvesant,18-03-2016,22:54,22,Evening,Friday,0,Spring,1,1.07,Low,12.3,5.2,1.0
Midtown,Hell's Kitchen,08-05-2016,02:32,2,Night,Sunday,1,Spring,1,10.46,Low,35.2,17.8,1.0
South Slope,Crown Heights,16-05-2016,02:14,2,Night,Monday,0,Spring,1,11.58,Low,20.5,33.9,1.0
South Slope,Fort Greene,02-05-2016,11:09,11,Morning,Monday,0,Spring,1,1.14,Low,2.8,24.4,1.0
Fort Greene,South Slope,01-05-2016,15:08,15,Afternoon,Sunday,1,Spring,5,2.38,Low,12.4,11.5,1.0
East Harlem,Bedford-Stuyvesant,08-02-2016,19:05,19,Evening,Monday,0,Winter,1,0.79,High,4.6,10.3,1.8
West Village,West Village,10-04-2016,01:19,1,Night,Sunday,1,Spring,1,1.01,Low,4.3,14.1,1.0
Upper West Side,Midtown,02-06-2016,14:21,14,Afternoon,Thursday,0,Summer,1,1.52,Low,11.9,7.7,1.0
Harlem,Fort Greene,14-06-2016,14:22,14,Afternoon,Tuesday,0,Summer,1,1.02,Low,7.2,8.5,1.0
South Slope,Upper West Side,27-05-2016,23:10,23,Evening,Friday,0,Spring,1,3.46,Low,6.8,30.5,1.0
Upper West Side,Harlem,03-02-2016,14:53,14,Afternoon,Wednesday,0,Winter,5,1.12,Low,6.0,11.2,1.0
Williamsburg,Kensington,09-05-2016,01:47,1,Night,Monday,0,Spring,1,18.42,Low,29.0,38.1,1.0
East Harlem,Harlem,02-06-2016,06:12,6,Morning,Thursday,0,Summer,1,0.75,Low,6.4,7.0,1.0
Williamsburg,Upper West Side,07-05-2016,14:08,14,Afternoon,Saturday,1,Spring,6,1.62,Low,9.4,10.3,1.0
Fort Greene,Midtown,07-02-2016,19:11,19,Evening,Sunday,1,Winter,2,3.34,High,10.9,18.4,1.8
Upper West Side,Murray Hill,09-02-2016,14:19,14,Afternoon,Tuesday,0,Winter,2,1.97,Low,5.5,21.5,1.0
Upper West Side,Upper West Side,24-02-2016,21:27,21,Evening,Wednesday,0,Winter,1,2.34,Low,9.5,14.8,1.0
Murray Hill,Upper West Side,22-04-2016,18:23,18,Evening,Friday,0,Spring,1,0.51,High,5.7,5.4,1.8
Tottenville,Prince's Bay,12-05-2016,14:11,14,Afternoon,Thursday,0,Spring,1,24.52,Low,52.0,28.3,1.0
South Slope,Midtown,02-01-2016,11:52,11,Morning,Saturday,1,Winter,1,1.08,Low,6.6,9.8,1.0
Windsor Terrace,South Slope,04-02-2016,23:28,23,Evening,Thursday,0,Winter,1,1.64,Low,8.4,11.7,1.0
West Village,Hell's Kitchen,06-04-2016,11:23,11,Morning,Wednesday,0,Spring,3,2.06,Low,13.6,9.1,1.0
Bedford-Stuyvesant,Kensington,02-02-2016,21:39,21,Evening,Tuesday,0,Winter,1,2.14,Low,8.1,15.9,1.0
Bath Beach,Borough Park,02-06-2016,10:46,10,Morning,Thursday,0,Summer,2,3.0,Medium,27.8,6.5,1.3
Bedford-Stuyvesant,Harlem,07-06-2016,19:46,19,Evening,Tuesday,0,Summer,1,3.01,High,6.2,29.1,1.8
Bedford-Stuyvesant,Bedford-Stuyvesant,08-04-2016,11:42,11,Morning,Friday,0,Spring,1,3.26,Low,22.8,8.6,1.0
Bedford-Stuyvesant,Harlem,06-06-2016,10:28,10,Morning,Monday,0,Summer,1,4.1,Medium,26.4,9.3,1.3
Hell's Kitchen,Upper West Side,17-04-2016,14:13,14,Afternoon,Sunday,1,Spring,1,3.26,Low,18.1,10.8,1.0
Fort Greene,Harlem,15-01-2016,15:08,15,Afternoon,Friday,0,Winter,1,2.32,Low,15.0,9.3,1.0
Midwood,Sheepshead Bay,15-04-2016,22:22,22,Evening,Friday,0,Spring,2,1.93,Low,5.2,22.3,1.0
Upper West Side,Bedford-Stuyvesant,07-03-2016,19:16,19,Evening,Monday,0,Spring,6,0.8,High,3.4,14.1,1.8
Bedford-Stuyvesant,Fort Greene,07-05-2016,17:49,17,Afternoon,Saturday,1,Spring,4,2.87,High,10.2,16.9,1.8
Upper West Side,Bedford-Stuyvesant,24-02-2016,07:45,7,Morning,Wednesday,0,Winter,2,13.46,Medium,31.5,25.6,1.3
Park Slope,Harlem,27-04-2016,09:29,9,Morning,Wednesday,0,Spring,1,1.8,High,11.2,9.6,1.8
East Harlem,Harlem,26-03-2016,17:02,17,Afternoon,Saturday,1,Spring,1,2.62,High,11.3,13.9,1.8
South Slope,Upper West Side,25-02-2016,17:08,17,Afternoon,Thursday,0,Winter,1,1.48,High,3.5,25.4,1.8
Midtown,Clinton Hill,08-03-2016,14:00,14,Afternoon,Tuesday,0,Spring,1,1.4,Low,10.2,8.2,1.0
Bedford-Stuyvesant,Upper West Side,12-01-2016,19:29,19,Evening,Tuesday,0,Winter,5,1.86,High,13.1,8.5,1.8
Fort Greene,Upper West Side,09-03-2016,22:00,22,Evening,Wednesday,0,Spring,1,1.73,Low,12.6,8.2,1.0
East Harlem,Harlem,23-06-2016,12:37,12,Afternoon,Thursday,0,Summer,5,4.5,Low,30.8,8.8,1.0
South Slope,Upper West Side,01-05-2016,07:18,7,Morning,Sunday,1,Spring,3,2.81,Medium,12.6,13.4,1.3
Upper West Side,Harlem,24-05-2016,10:50,10,Morning,Tuesday,0,Spring,6,0.38,Medium,10.4,2.2,1.3
Murray Hill,Murray Hill,22-05-2016,00:17,0,Night,Sunday,1,Spring,2,4.92,Low,15.8,18.7,1.0
East Harlem,Crown Heights,22-01-2016,22:20,22,Evening,Friday,0,Winter,2,1.11,Low,9.4,7.1,1.0
Great Kills,Tottenville,17-05-2016,14:17,14,Afternoon,Tuesday,0,Spring,1,24.37,Low,68.3,21.4,1.0
Park Slope,Bedford-Stuyvesant,13-02-2016,19:07,19,Evening,Saturday,1,Winter,1,0.74,High,3.9,11.4,1.8
Murray Hill,Harlem,24-02-2016,11:37,11,Morning,Wednesday,0,Winter,6,0.81,Low,5.6,8.7,1.0
Williamsburg,Clinton Hill,30-06-2016,08:41,8,Morning,Thursday,0,Summer,1,3.55,High,16.4,13.0,1.8
Upper West Side,Inwood,20-03-2016,23:20,23,Evening,Sunday,1,Spring,2,1.07,Low,3.7,17.4,1.0
West Village,Clinton Hill,04-06-2016,08:22,8,Morning,Saturday,1,Summer,1,0.67,High,2.1,19.1,1.8
Eltingville,"Bay Terrace, Staten Island",19-05-2016,13:03,13,Afternoon,Thursday,0,Spring,1,23.36,Low,42.5,33.0,1.0
Clinton Hill,Midtown,10-06-2016,15:28,15,Afternoon,Friday,0,Summer,1,2.02,Low,10.8,11.2,1.0
Harlem,East Harlem,19-03-2016,21:06,21,Evening,Saturday,1,Spring,1,1.08,Low,2.5,25.9,1.0
Upper West Side,Fort Greene,19-05-2016,20:37,20,Evening,Thursday,0,Spring,2,1.83,Medium,12.0,9.2,1.3
East Harlem,South Slope,07-01-2016,12:06,12,Afternoon,Thursday,0,Winter,2,2.96,Low,21.2,8.4,1.0
East Harlem,Chinatown,26-03-2016,20:36,20,Evening,Saturday,1,Spring,1,2.16,Medium,11.6,11.2,1.3
Bath Beach,Flatlands,29-05-2016,14:58,14,Afternoon,Sunday,1,Spring,1,2.29,Low,10.4,13.2,1.0
Bedford-Stuyvesant,Kensington,08-01-2016,23:35,23,Evening,Friday,0,Winter,1,1.63,Low,6.9,14.2,1.0
Murray Hill,Bedford-Stuyvesant,06-05-2016,11:49,11,Morning,Friday,0,Spring,2,0.83,Low,7.3,6.8,1.0
Murray Hill,Midtown,04-04-2016,20:15,20,Evening,Monday,0,Spring,4,1.34,Medium,8.9,9.0,1.3
Harlem,Crown Heights,10-05-2016,15:20,15,Afternoon,Tuesday,0,Spring,1,3.52,Low,21.7,9.7,1.0
Upper West Side,Upper West Side,03-01-2016,14:18,14,Afternoon,Sunday,1,Winter,1,4.02,Low,11.2,21.5,1.0
Upper West Side,East Harlem,21-04-2016,20:25,20,Evening,Thursday,0,Spring,1,1.34,Medium,4.7,17.1,1.3
Chelsea,Kensington,31-03-2016,04:45,4,Night,Thursday,0,Spring,1,14.76,Low,14.5,61.1,1.0
East Village,Upper West Side,16-04-2016,17:20,17,Afternoon,Saturday,1,Spring,1,6.14,High,18.6,19.8,1.8
Crown Heights,East Harlem,20-06-2016,04:24,4,Night,Monday,0,Summer,2,3.54,Low,7.6,27.9,1.0
Clinton Hill,South Slope,14-05-2016,19:27,19,Evening,Saturday,1,Spring,5,0.84,High,3.1,16.3,1.8
Chinatown,West Village,10-06-2016,10:29,10,Morning,Friday,0,Summer,1,1.85,Medium,17.3,6.4,1.3
Upper West Side,Bedford-Stuyvesant,10-06-2016,13:59,13,Afternoon,Friday,0,Summer,1,1.81,Low,9.0,12.1,1.0
Hell's Kitchen,East Harlem,23-06-2016,14:23,14,Afternoon,Thursday,0,Summer,1,1.79,Low,15.5,6.9,1.0
South Slope,West Village,09-02-2016,22:44,22,Evening,Tuesday,0,Winter,1,1.02,Low,9.1,6.7,1.0
Upper West Side,Clinton Hill,15-05-2016,01:21,1,Night,Sunday,1,Spring,1,2.11,Low,9.5,13.3,1.0
Windsor Terrace,South Slope,16-01-2016,11:44,11,Morning,Saturday,1,Winter,1,5.17,Low,9.8,31.7,1.0
Williamsburg,Murray Hill,16-04-2016,00:01,0,Night,Saturday,1,Spring,1,3.81,Low,23.6,9.7,1.0
Park Slope,Upper West Side,03-03-2016,04:11,4,Night,Thursday,0,Spring,1,4.39,Low,14.1,18.7,1.0
Clinton Hill,South Slope,29-01-2016,12:06,12,Afternoon,Friday,0,Winter,2,1.0,Low,10.5,5.7,1.0
Harlem,Inwood,28-05-2016,15:07,15,Afternoon,Saturday,1,Spring,1,6.84,Low,20.1,20.4,1.0
Upper West Side,East Harlem,16-05-2016,10:11,10,Morning,Monday,0,Spring,1,3.45,Medium,17.2,12.0,1.3
Murray Hill,Upper West Side,26-04-2016,21:40,21,Evening,Tuesday,0,Spring,4,2.43,Low,11.2,13.0,1.0
Prince's Bay,Tottenville,07-01-2016,18:12,18,Evening,Thursday,0,Winter,1,24.95,High,43.1,34.7,1.8
Inwood,Harlem,25-06-2016,13:14,13,Afternoon,Saturday,1,Summer,1,6.09,Low,26.6,13.7,1.0
South Slope,West Village,25-05-2016,00:53,0,Night,Wednesday,0,Spring,2,6.33,Low,18.4,20.6,1.0
Chinatown,Harlem,19-06-2016,19:52,19,Evening,Sunday,1,Summer,2,0.72,High,3.7,11.7,1.8
Upper West Side,Upper West Side,28-02-2016,01:02,1,Night,Sunday,1,Winter,5,2.55,Low,17.9,8.5,1.0
Harlem,East Harlem,23-04-2016,15:52,15,Afternoon,Saturday,1,Spring,1,6.79,Low,43.0,9.5,1.0
East Village,East Harlem,26-04-2016,18:14,18,Evening,Tuesday,0,Spring,1,2.3,High,13.8,10.0,1.8
East Harlem,Harlem,18-03-2016,14:17,14,Afternoon,Friday,0,Spring,1,3.75,Low,20.2,11.1,1.0
Upper West Side,Upper West Side,15-05-2016,18:19,18,Evening,Sunday,1,Spring,2,1.1,High,4.4,15.0,1.8
Grant City,Tottenville,11-01-2016,22:48,22,Evening,Monday,0,Winter,2,36.01,Low,51.4,42.0,1.0
Arden Heights,Bensonhurst,20-02-2016,14:14,14,Afternoon,Saturday,1,Winter,1,11.57,Low,16.7,41.6,1.0
South Slope,East Harlem,04-06-2016,16:37,16,Afternoon,Saturday,1,Summer,1,4.77,Medium,11.7,24.5,1.3
East Harlem,Chinatown,28-05-2016,22:39,22,Evening,Saturday,1,Spring,1,0.97,Low,4.1,14.2,1.0
Bedford-Stuyvesant,Harlem,12-02-2016,06:50,6,Morning,Friday,0,Winter,2,1.4,Low,3.8,22.1,1.0
Murray Hill,West Village,19-05-2016,09:47,9,Morning,Thursday,0,Spring,1,1.33,High,17.1,4.7,1.8
Crown Heights,Bedford-Stuyvesant,08-03-2016,22:25,22,Evening,Tuesday,0,Spring,1,3.55,Low,8.4,25.4,1.0
Bedford-Stuyvesant,Fort Greene,09-04-2016,02:14,2,Night,Saturday,1,Spring,1,1.78,Low,10.7,10.0,1.0
Upper West Side,Midtown,25-01-2016,10:09,10,Morning,Monday,0,Winter,1,1.14,Medium,8.4,8.1,1.3
South Slope,Crown Heights,12-02-2016,10:07,10,Morning,Friday,0,Winter,3,5.23,Medium,14.1,22.3,1.3
Bedford-Stuyvesant,Harlem,08-02-2016,23:06,23,Evening,Monday,0,Winter,1,1.46,Low,5.0,17.5,1.0
Huguenot,Tottenville,02-06-2016,17:32,17,Afternoon,Thursday,0,Summer,1,23.56,High,70.0,20.2,1.8
Murray Hill,Upper West Side,06-02-2016,02:35,2,Night,Saturday,1,Winter,1,6.35,Low,20.6,18.5,1.0
Kensington,Upper West Side,19-03-2016,11:25,11,Morning,Saturday,1,Spring,4,1.28,Low,6.1,12.6,1.0
South Slope,Bedford-Stuyvesant,16-06-2016,21:40,21,Evening,Thursday,0,Summer,5,1.79,Low,12.6,8.5,1.0
South Slope,Williamsburg,01-02-2016,13:24,13,Afternoon,Monday,0,Winter,1,1.04,Low,5.4,11.6,1.0
South Slope,Williamsburg,30-01-2016,06:28,6,Morning,Saturday,1,Winter,1,1.4,Low,3.2,26.2,1.0
Murray Hill,Clinton Hill,11-06-2016,00:57,0,Night,Saturday,1,Summer,1,0.81,Low,6.0,8.1,1.0
Bedford-Stuyvesant,Bedford-Stuyvesant,28-03-2016,23:31,23,Evening,Monday,0,Spring,1,3.05,Low,13.4,13.7,1.0
Arrochar,Rockaway Beach,31-03-2016,10:45,10,Morning,Thursday,0,Spring,1,3.47,Medium,8.9,23.4,1.3
Upper West Side,Clinton Hill,14-06-2016,14:09,14,Afternoon,Tuesday,0,Summer,2,1.13,Low,3.3,20.5,1.0
