pickup_location,drop_location,pickup_hour,weekday,is_weekend,season,trip_distance_km,traffic_level,passenger_count,surge_multiplier
Upper West Side,Murray Hill,5,Wednesday,0,Summer,10.61,Low,6,1.0
Hell's Kitchen,Fort Greene,8,Monday,0,Spring,4.95,High,1,1.8
Bedford-Stuyvesant,West Village,17,Wednesday,0,Winter,1.51,High,1,1.8
Greenpoint,Murray Hill,12,Thursday,0,Summer,0.98,Low,2,1.0
Murray Hill,East Harlem,7,Thursday,0,Spring,2.55,Medium,1,1.3
Inwood,Hell's Kitchen,19,Wednesday,0,Winter,3.8,High,2,1.8
Bedford-Stuyvesant,Harlem,2,Sunday,1,Winter,7.21,Low,1,1.0
Hell's Kitchen,Murray Hill,9,Monday,0,Spring,3.16,High,1,1.8
Harlem,East Harlem,16,Monday,0,Spring,0.57,Medium,1,1.3
Midtown,East Harlem,18,Friday,0,Spring,4.3,High,1,1.8
Park Slope,Kensington,20,Wednesday,0,Spring,3.06,Medium,2,1.3
Clinton Hill,Upper West Side,9,Friday,0,Spring,0.87,High,1,1.8
Fort Greene,Chinatown,11,Monday,0,Winter,1.69,Low,1,1.0
Upper West Side,Inwood,17,Thursday,0,Winter,1.14,High,1,1.8
Williamsburg,Murray Hill,15,Thursday,0,Winter,1.21,Low,1,1.0
Upper West Side,South Slope,11,Wednesday,0,Winter,0.78,Low,2,1.0
West Village,Upper West Side,18,Wednesday,0,Summer,2.1,High,5,1.8
South Slope,South Slope,18,Thursday,0,Spring,1.24,High,1,1.8
Chinatown,East Harlem,8,Tuesday,0,Spring,1.7,High,3,1.8
Murray Hill,Harlem,7,Thursday,0,Spring,1.54,Medium,1,1.3
Williamsburg,Hell's Kitchen,9,Friday,0,Winter,3.18,High,1,1.8
Harlem,Bedford-Stuyvesant,17,Tuesday,0,Summer,5.95,High,1,1.8
Sheepshead Bay,Sheepshead Bay,18,Monday,0,Winter,1.81,High,1,1.8
Harlem,Crown Heights,18,Tuesday,0,Winter,0.92,High,5,1.8
Upper West Side,Murray Hill,23,Sunday,1,Summer,8.85,Low,2,1.0
Midwood,Midwood,10,Thursday,0,Winter,1.38,Medium,1,1.3
Harlem,Upper West Side,20,Friday,0,Spring,4.42,Medium,1,1.3
Bedford-Stuyvesant,Hell's Kitchen,22,Thursday,0,Winter,2.79,Low,2,1.0
Williamsburg,Harlem,6,Wednesday,0,Winter,2.81,Low,1,1.0
Midtown,West Village,22,Sunday,1,Spring,2.6,Low,2,1.0
Sheepshead Bay,New Dorp Beach,18,Friday,0,Spring,14.55,High,2,1.8
Clinton Hill,Upper West Side,18,Sunday,1,Summer,0.81,High,1,1.8
Bedford-Stuyvesant,Park Slope,17,Sunday,1,Winter,1.08,High,1,1.8
Rossville,Eltingville,21,Monday,0,Summer,12.93,Low,4,1.0
Williamsburg,Upper West Side,21,Saturday,1,Spring,3.27,Low,2,1.0
Williamsburg,Fort Greene,0,Sunday,1,Winter,1.32,Low,5,1.0
Upper West Side,Upper West Side,18,Sunday,1,Spring,0.69,High,1,1.8
Park Slope,Kensington,3,Friday,0,Winter,5.78,Low,1,1.0
Harlem,Upper West Side,22,Tuesday,0,Spring,2.4,Low,1,1.0
South Slope,Upper West Side,22,Saturday,1,Spring,0.57,Low,2,1.0
Murray Hill,Upper West Side,21,Wednesday,0,Summer,2.22,Low,1,1.0
East Harlem,Murray Hill,10,Tuesday,0,Spring,1.96,Medium,2,1.3
Chinatown,Bedford-Stuyvesant,9,Wednesday,0,Spring,7.52,High,1,1.8
East Harlem,Fort Greene,21,Monday,0,Winter,2.22,Low,1,1.0
Midtown,Harlem,1,Saturday,1,Spring,6.75,Low,1,1.0
Oakwood,Tompkinsville,1,Friday,0,Summer,11.08,Low,6,1.0
Greenpoint,Williamsburg,16,Thursday,0,Summer,1.4,Medium,1,1.3
Inwood,Bedford-Stuyvesant,2,Sunday,1,Spring,3.27,Low,5,1.0
Harlem,Harlem,18,Monday,0,Winter,1.02,High,1,1.8
Tottenville,Rossville,21,Thursday,0,Spring,16.43,Low,1,1.0
Crown Heights,Bedford-Stuyvesant,6,Tuesday,0,Spring,2.54,Low,3,1.0
Bedford-Stuyvesant,Crown Heights,9,Sunday,1,Summer,1.4,High,2,1.8
Hell's Kitchen,Fort Greene,23,Wednesday,0,Spring,4.84,Low,1,1.0
East Harlem,Fort Greene,19,Friday,0,Spring,2.73,High,1,1.8
West Village,Hell's Kitchen,18,Tuesday,0,Spring,2.65,High,5,1.8
Tottenville,Great Kills,11,Thursday,0,Summer,9.21,Low,1,1.0
Upper West Side,Park Slope,22,Saturday,1,Spring,0.94,Low,1,1.0
South Slope,Chinatown,19,Thursday,0,Spring,3.29,High,1,1.8
Inwood,Bedford-Stuyvesant,22,Tuesday,0,Summer,1.29,Low,1,1.0
East Harlem,Midtown,17,Sunday,1,Winter,5.7,High,1,1.8
East Harlem,Bedford-Stuyvesant,21,Sunday,1,Spring,8.33,Low,1,1.0
Greenpoint,East Harlem,22,Tuesday,0,Spring,0.66,Low,2,1.0
Fort Greene,Upper West Side,21,Saturday,1,Spring,1.97,Low,1,1.0
Hell's Kitchen,Harlem,18,Thursday,0,Spring,0.49,High,2,1.8
East Harlem,Hell's Kitchen,0,Friday,0,Spring,1.68,Low,4,1.0
Tottenville,Eltingville,19,Sunday,1,Spring,25.06,High,1,1.8
Tottenville,Tottenville,21,Monday,0,Winter,26.73,Low,1,1.0
South Slope,South Slope,11,Saturday,1,Summer,2.75,Low,1,1.0
Rosebank,Bull's Head,14,Thursday,0,Summer,0.79,Low,1,1.0
Park Slope,Inwood,5,Friday,0,Winter,2.69,Low,6,1.0
Murray Hill,Hell's Kitchen,20,Thursday,0,Spring,6.83,Medium,2,1.3
Midtown,Midtown,17,Monday,0,Spring,0.88,High,1,1.8
East Harlem,Clinton Hill,12,Friday,0,Winter,2.41,Low,1,1.0
Upper West Side,Williamsburg,19,Sunday,1,Spring,1.91,High,1,1.8
Crown Heights,Harlem,11,Sunday,1,Spring,2.14,Low,2,1.0
Upper West Side,Midtown,15,Monday,0,Winter,2.23,Low,3,1.0
Great Kills,Woodrow,5,Sunday,1,Summer,40.71,Low,1,1.0
East Village,East Village,0,Sunday,1,Spring,0.62,Low,2,1.0
Chinatown,Upper West Side,21,Monday,0,Winter,3.42,Low,1,1.0
South Slope,Murray Hill,7,Friday,0,Spring,5.66,Medium,1,1.3
Bedford-Stuyvesant,South Slope,9,Tuesday,0,Winter,4.86,High,5,1.8
East Village,Crown Heights,0,Wednesday,0,Winter,52.67,Low,3,1.0
South Slope,Chelsea,8,Thursday,0,Summer,1.7,High,1,1.8
West Village,East Harlem,10,Monday,0,Spring,0.95,Medium,1,1.3
Flatlands,Sheepshead Bay,13,Wednesday,0,Spring,5.11,Low,1,1.0
Midtown,Bedford-Stuyvesant,10,Friday,0,Spring,8.21,Medium,2,1.3
Hell's Kitchen,Upper West Side,2,Tuesday,0,Winter,7.55,Low,1,1.0
Bedford-Stuyvesant,East Harlem,11,Thursday,0,Spring,5.14,Low,5,1.0
Chinatown,South Slope,16,Wednesday,0,Winter,0.61,Medium,1,1.3
Murray Hill,Hell's Kitchen,21,Saturday,1,Winter,1.58,Low,4,1.0
Bedford-Stuyvesant,Upper West Side,14,Tuesday,0,Spring,3.54,Low,1,1.0
Kensington,Harlem,8,Tuesday,0,Spring,5.38,High,1,1.8
Arverne,Oakwood,20,Tuesday,0,Winter,19.25,Medium,1,1.3
Bedford-Stuyvesant,Bedford-Stuyvesant,20,Monday,0,Spring,1.83,Medium,1,1.3
Lower East Side,South Slope,0,Saturday,1,Spring,1.99,Low,2,1.0
Bedford-Stuyvesant,Fort Greene,12,Monday,0,Spring,1.45,Low,1,1.0
Tottenville,Prince's Bay,10,Sunday,1,Spring,4.32,Medium,1,1.3
Kensington,Bedford-Stuyvesant,21,Monday,0,Winter,1.61,Low,1,1.0
Tompkinsville,"Bay Terrace, Staten Island",15,Thursday,0,Spring,12.9,Low,1,1.0
Clinton Hill,Upper West Side,3,Friday,0,Winter,12.16,Low,1,1.0
Harlem,East Harlem,23,Thursday,0,Spring,3.99,Low,1,1.0
West Village,Upper West Side,7,Tuesday,0,Summer,0.55,Medium,1,1.3
Bay Ridge,Arden Heights,15,Tuesday,0,Spring,13.48,Low,1,1.0
Upper West Side,Bedford-Stuyvesant,22,Friday,0,Spring,1.07,Low,1,1.0
Midtown,Hell's Kitchen,2,Sunday,1,Spring,10.46,Low,1,1.0
South Slope,Crown Heights,2,Monday,0,Spring,11.58,Low,1,1.0
South Slope,Fort Greene,11,Monday,0,Spring,1.14,Low,1,1.0
Fort Greene,South Slope,15,Sunday,1,Spring,2.38,Low,5,1.0
East Harlem,Bedford-Stuyvesant,19,Monday,0,Winter,0.79,High,1,1.8
West Village,West Village,1,Sunday,1,Spring,1.01,Low,1,1.0
Upper West Side,Midtown,14,Thursday,0,Summer,1.52,Low,1,1.0
Harlem,Fort Greene,14,Tuesday,0,Summer,1.02,Low,1,1.0
South Slope,Upper West Side,23,Friday,0,Spring,3.46,Low,1,1.0
Upper West Side,Harlem,14,Wednesday,0,Winter,1.12,Low,5,1.0
Williamsburg,Kensington,1,Monday,0,Spring,18.42,Low,1,1.0
East Harlem,Harlem,6,Thursday,0,Summer,0.75,Low,1,1.0
Williamsburg,Upper West Side,14,Saturday,1,Spring,1.62,Low,6,1.0
Fort Greene,Midtown,19,Sunday,1,Winter,3.34,High,2,1.8
Upper West Side,Murray Hill,14,Tuesday,0,Winter,1.97,Low,2,1.0
Upper West Side,Upper West Side,21,Wednesday,0,Winter,2.34,Low,1,1.0
Murray Hill,Upper West Side,18,Friday,0,Spring,0.51,High,1,1.8
Tottenville,Prince's Bay,14,Thursday,0,Spring,24.52,Low,1,1.0
South Slope,Midtown,11,Saturday,1,Winter,1.08,Low,1,1.0
Windsor Terrace,South Slope,23,Thursday,0,Winter,1.64,Low,1,1.0
West Village,Hell's Kitchen,11,Wednesday,0,Spring,2.06,Low,3,1.0
Bedford-Stuyvesant,Kensington,21,Tuesday,0,Winter,2.14,Low,1,1.0
Bath Beach,Borough Park,10,Thursday,0,Summer,3.0,Medium,2,1.3
Bedford-Stuyvesant,Harlem,19,Tuesday,0,Summer,3.01,High,1,1.8
Bedford-Stuyvesant,Bedford-Stuyvesant,11,Friday,0,Spring,3.26,Low,1,1.0
Bedford-Stuyvesant,Harlem,10,Monday,0,Summer,4.1,Medium,1,1.3
Hell's Kitchen,Upper West Side,14,Sunday,1,Spring,3.26,Low,1,1.0
Fort Greene,Harlem,15,Friday,0,Winter,2.32,Low,1,1.0
Midwood,Sheepshead Bay,22,Friday,0,Spring,1.93,Low,2,1.0
Upper West Side,Bedford-Stuyvesant,19,Monday,0,Spring,0.8,High,6,1.8
Bedford-Stuyvesant,Fort Greene,17,Saturday,1,Spring,2.87,High,4,1.8
Upper West Side,Bedford-Stuyvesant,7,Wednesday,0,Winter,13.46,Medium,2,1.3
Park Slope,Harlem,9,Wednesday,0,Spring,1.8,High,1,1.8
East Harlem,Harlem,17,Saturday,1,Spring,2.62,High,1,1.8
South Slope,Upper West Side,17,Thursday,0,Winter,1.48,High,1,1.8
Midtown,Clinton Hill,14,Tuesday,0,Spring,1.4,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,19,Tuesday,0,Winter,1.86,High,5,1.8
Fort Greene,Upper West Side,22,Wednesday,0,Spring,1.73,Low,1,1.0
East Harlem,Harlem,12,Thursday,0,Summer,4.5,Low,5,1.0
South Slope,Upper West Side,7,Sunday,1,Spring,2.81,Medium,3,1.3
Upper West Side,Harlem,10,Tuesday,0,Spring,0.38,Medium,6,1.3
Murray Hill,Murray Hill,0,Sunday,1,Spring,4.92,Low,2,1.0
East Harlem,Crown Heights,22,Friday,0,Winter,1.11,Low,2,1.0
Great Kills,Tottenville,14,Tuesday,0,Spring,24.37,Low,1,1.0
Park Slope,Bedford-Stuyvesant,19,Saturday,1,Winter,0.74,High,1,1.8
Murray Hill,Harlem,11,Wednesday,0,Winter,0.81,Low,6,1.0
Williamsburg,Clinton Hill,8,Thursday,0,Summer,3.55,High,1,1.8
Upper West Side,Inwood,23,Sunday,1,Spring,1.07,Low,2,1.0
West Village,Clinton Hill,8,Saturday,1,Summer,0.67,High,1,1.8
Eltingville,"Bay Terrace, Staten Island",13,Thursday,0,Spring,23.36,Low,1,1.0
Clinton Hill,Midtown,15,Friday,0,Summer,2.02,Low,1,1.0
Harlem,East Harlem,21,Saturday,1,Spring,1.08,Low,1,1.0
Upper West Side,Fort Greene,20,Thursday,0,Spring,1.83,Medium,2,1.3
East Harlem,South Slope,12,Thursday,0,Winter,2.96,Low,2,1.0
East Harlem,Chinatown,20,Saturday,1,Spring,2.16,Medium,1,1.3
Bath Beach,Flatlands,14,Sunday,1,Spring,2.29,Low,1,1.0
Bedford-Stuyvesant,Kensington,23,Friday,0,Winter,1.63,Low,1,1.0
Murray Hill,Bedford-Stuyvesant,11,Friday,0,Spring,0.83,Low,2,1.0
Murray Hill,Midtown,20,Monday,0,Spring,1.34,Medium,4,1.3
Harlem,Crown Heights,15,Tuesday,0,Spring,3.52,Low,1,1.0
Upper West Side,Upper West Side,14,Sunday,1,Winter,4.02,Low,1,1.0
Upper West Side,East Harlem,20,Thursday,0,Spring,1.34,Medium,1,1.3
Chelsea,Kensington,4,Thursday,0,Spring,14.76,Low,1,1.0
East Village,Upper West Side,17,Saturday,1,Spring,6.14,High,1,1.8
Crown Heights,East Harlem,4,Monday,0,Summer,3.54,Low,2,1.0
Clinton Hill,South Slope,19,Saturday,1,Spring,0.84,High,5,1.8
Chinatown,West Village,10,Friday,0,Summer,1.85,Medium,1,1.3
Upper West Side,Bedford-Stuyvesant,13,Friday,0,Summer,1.81,Low,1,1.0
Hell's Kitchen,East Harlem,14,Thursday,0,Summer,1.79,Low,1,1.0
South Slope,West Village,22,Tuesday,0,Winter,1.02,Low,1,1.0
Upper West Side,Clinton Hill,1,Sunday,1,Spring,2.11,Low,1,1.0
Windsor Terrace,South Slope,11,Saturday,1,Winter,5.17,Low,1,1.0
Williamsburg,Murray Hill,0,Saturday,1,Spring,3.81,Low,1,1.0
Park Slope,Upper West Side,4,Thursday,0,Spring,4.39,Low,1,1.0
Clinton Hill,South Slope,12,Friday,0,Winter,1.0,Low,2,1.0
Harlem,Inwood,15,Saturday,1,Spring,6.84,Low,1,1.0
Upper West Side,East Harlem,10,Monday,0,Spring,3.45,Medium,1,1.3
Murray Hill,Upper West Side,21,Tuesday,0,Spring,2.43,Low,4,1.0
Prince's Bay,Tottenville,18,Thursday,0,Winter,24.95,High,1,1.8
Inwood,Harlem,13,Saturday,1,Summer,6.09,Low,1,1.0
South Slope,West Village,0,Wednesday,0,Spring,6.33,Low,2,1.0
Chinatown,Harlem,19,Sunday,1,Summer,0.72,High,2,1.8
Upper West Side,Upper West Side,1,Sunday,1,Winter,2.55,Low,5,1.0
Harlem,East Harlem,15,Saturday,1,Spring,6.79,Low,1,1.0
East Village,East Harlem,18,Tuesday,0,Spring,2.3,High,1,1.8
East Harlem,Harlem,14,Friday,0,Spring,3.75,Low,1,1.0
Upper West Side,Upper West Side,18,Sunday,1,Spring,1.1,High,2,1.8
Grant City,Tottenville,22,Monday,0,Winter,36.01,Low,2,1.0
Arden Heights,Bensonhurst,14,Saturday,1,Winter,11.57,Low,1,1.0
South Slope,East Harlem,16,Saturday,1,Summer,4.77,Medium,1,1.3
East Harlem,Chinatown,22,Saturday,1,Spring,0.97,Low,1,1.0
Bedford-Stuyvesant,Harlem,6,Friday,0,Winter,1.4,Low,2,1.0
Murray Hill,West Village,9,Thursday,0,Spring,1.33,High,1,1.8
Great Kills,Neponsit,13,Thursday,0,Summer,0.81,Low,3,1.0
Crown Heights,Bedford-Stuyvesant,22,Tuesday,0,Spring,3.55,Low,1,1.0
Bedford-Stuyvesant,Fort Greene,2,Saturday,1,Spring,1.78,Low,1,1.0
Upper West Side,Midtown,10,Monday,0,Winter,1.14,Medium,1,1.3
South Slope,Crown Heights,10,Friday,0,Winter,5.23,Medium,3,1.3
Bedford-Stuyvesant,Harlem,23,Monday,0,Winter,1.46,Low,1,1.0
Huguenot,Tottenville,17,Thursday,0,Summer,23.56,High,1,1.8
Murray Hill,Upper West Side,2,Saturday,1,Winter,6.35,Low,1,1.0
Kensington,Upper West Side,11,Saturday,1,Spring,1.28,Low,4,1.0
South Slope,Bedford-Stuyvesant,21,Thursday,0,Summer,1.79,Low,5,1.0
South Slope,Williamsburg,13,Monday,0,Winter,1.04,Low,1,1.0
South Slope,Williamsburg,6,Saturday,1,Winter,1.4,Low,1,1.0
Murray Hill,Clinton Hill,0,Saturday,1,Summer,0.81,Low,1,1.0
Bedford-Stuyvesant,Bedford-Stuyvesant,23,Monday,0,Spring,3.05,Low,1,1.0
Arrochar,Rockaway Beach,10,Thursday,0,Spring,3.47,Medium,1,1.3
Upper West Side,Clinton Hill,14,Tuesday,0,Summer,1.13,Low,2,1.0
East Harlem,Midtown,8,Thursday,0,Spring,1.36,High,1,1.8
South Slope,Bedford-Stuyvesant,13,Saturday,1,Winter,3.83,Low,4,1.0
Park Slope,Williamsburg,0,Saturday,1,Spring,4.88,Low,1,1.0
Kensington,Kensington,20,Monday,0,Spring,2.09,Medium,1,1.3
Prince's Bay,Tottenville,21,Monday,0,Winter,25.95,Low,1,1.0
Upper West Side,West Village,17,Monday,0,Summer,2.43,High,1,1.8
Bedford-Stuyvesant,Harlem,11,Sunday,1,Spring,1.87,Low,1,1.0
Fort Greene,Upper West Side,16,Wednesday,0,Spring,1.78,Medium,1,1.3
Concord,Sheepshead Bay,19,Monday,0,Spring,1.92,High,1,1.8
Hell's Kitchen,East Harlem,0,Monday,0,Winter,1.86,Low,1,1.0
Murray Hill,Harlem,21,Wednesday,0,Spring,7.48,Low,1,1.0
Harlem,Hell's Kitchen,18,Saturday,1,Spring,1.55,High,1,1.8
Upper West Side,Upper West Side,18,Tuesday,0,Spring,8.08,High,5,1.8
Bedford-Stuyvesant,Upper West Side,10,Tuesday,0,Spring,2.13,Medium,1,1.3
Upper West Side,Chinatown,11,Sunday,1,Spring,2.28,Low,1,1.0
Midtown,Upper West Side,21,Wednesday,0,Summer,2.13,Low,1,1.0
South Slope,East Harlem,1,Saturday,1,Summer,1.33,Low,1,1.0
Bedford-Stuyvesant,Midtown,5,Friday,0,Spring,19.63,Low,5,1.0
Midtown,Fort Greene,20,Sunday,1,Spring,3.03,Medium,1,1.3
Upper West Side,Harlem,19,Wednesday,0,Spring,0.92,High,1,1.8
Upper West Side,East Harlem,15,Saturday,1,Spring,0.72,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,16,Tuesday,0,Spring,2.19,Medium,2,1.3
Murray Hill,Hell's Kitchen,13,Saturday,1,Winter,4.52,Low,2,1.0
East Harlem,Crown Heights,9,Thursday,0,Summer,1.53,High,2,1.8
Hell's Kitchen,Midtown,5,Tuesday,0,Winter,2.17,Low,1,1.0
East Harlem,Hell's Kitchen,18,Tuesday,0,Spring,0.6,High,1,1.8
Gravesend,Sheepshead Bay,8,Saturday,1,Winter,3.6,High,4,1.8
Upper West Side,Bedford-Stuyvesant,10,Thursday,0,Spring,6.86,Medium,5,1.3
Upper West Side,Murray Hill,13,Wednesday,0,Spring,0.81,Low,1,1.0
Fort Greene,East Harlem,19,Saturday,1,Winter,4.02,High,1,1.8
Kensington,Harlem,16,Monday,0,Spring,0.4,Medium,1,1.3
Clinton Hill,East Harlem,14,Friday,0,Winter,3.44,Low,1,1.0
West Village,Upper West Side,4,Monday,0,Winter,8.34,Low,1,1.0
East Harlem,Fort Greene,20,Friday,0,Spring,3.85,Medium,1,1.3
Tottenville,Huguenot,18,Friday,0,Summer,24.24,High,1,1.8
Bay Ridge,Dyker Heights,23,Wednesday,0,Summer,1.08,Low,1,1.0
Fort Greene,Crown Heights,23,Monday,0,Spring,1.33,Low,2,1.0
Arden Heights,Sheepshead Bay,15,Friday,0,Summer,11.42,Low,3,1.0
Upper West Side,Bedford-Stuyvesant,12,Saturday,1,Winter,0.73,Low,1,1.0
Murray Hill,Flatbush,1,Saturday,1,Winter,3.8,Low,1,1.0
Williamsburg,East Harlem,22,Sunday,1,Winter,1.28,Low,2,1.0
Bedford-Stuyvesant,Bedford-Stuyvesant,22,Wednesday,0,Spring,2.2,Low,1,1.0
East Harlem,Bedford-Stuyvesant,8,Friday,0,Spring,1.8,High,1,1.8
Upper West Side,Fort Greene,21,Tuesday,0,Summer,2.41,Low,1,1.0
Upper West Side,Upper West Side,7,Tuesday,0,Spring,1.67,Medium,2,1.3
Fort Greene,Chinatown,6,Friday,0,Winter,1.29,Low,1,1.0
Park Slope,Harlem,20,Friday,0,Spring,8.53,Medium,1,1.3
Clinton Hill,Hell's Kitchen,14,Tuesday,0,Spring,3.31,Low,1,1.0
Bedford-Stuyvesant,Hell's Kitchen,20,Tuesday,0,Spring,0.74,Medium,2,1.3
Great Kills,Tottenville,18,Wednesday,0,Winter,26.54,High,2,1.8
Oakwood,Rockaway Beach,12,Monday,0,Spring,10.72,Low,2,1.0
Sheepshead Bay,Concord,0,Wednesday,0,Winter,3.32,Low,1,1.0
Upper West Side,Harlem,18,Friday,0,Spring,2.91,High,1,1.8
Upper West Side,Upper West Side,8,Wednesday,0,Winter,2.68,High,1,1.8
Midwood,Bull's Head,20,Monday,0,Summer,3.27,Medium,1,1.3
Midwood,Concord,15,Sunday,1,Winter,2.31,Low,2,1.0
Hell's Kitchen,Crown Heights,23,Monday,0,Spring,0.31,Low,1,1.0
Upper West Side,South Slope,21,Thursday,0,Spring,1.56,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,16,Wednesday,0,Spring,0.87,Medium,1,1.3
East Harlem,Murray Hill,7,Thursday,0,Spring,0.01,Medium,1,1.3
Crown Heights,East Harlem,21,Thursday,0,Spring,3.1,Low,1,1.0
Upper West Side,East Harlem,19,Tuesday,0,Spring,4.94,High,2,1.8
Midtown,East Harlem,7,Friday,0,Spring,0.92,Medium,1,1.3
Gravesend,Arrochar,12,Monday,0,Winter,5.93,Low,2,1.0
Harlem,Kensington,7,Tuesday,0,Winter,1.37,Medium,1,1.3
Bedford-Stuyvesant,West Village,18,Friday,0,Summer,1.29,High,6,1.8
Hell's Kitchen,East Harlem,6,Friday,0,Summer,7.3,Low,1,1.0
Williamsburg,East Harlem,14,Friday,0,Spring,4.54,Low,1,1.0
Harlem,Bedford-Stuyvesant,17,Monday,0,Spring,1.55,High,1,1.8
East Harlem,East Harlem,10,Friday,0,Winter,3.65,Medium,1,1.3
Williamsburg,Chinatown,15,Monday,0,Spring,0.87,Low,2,1.0
Hell's Kitchen,South Slope,9,Thursday,0,Spring,2.53,High,2,1.8
Stapleton,"Bay Terrace, Staten Island",6,Wednesday,0,Spring,13.01,Low,2,1.0
Rockaway Beach,Bayswater,16,Monday,0,Spring,2.18,Medium,1,1.3
Williamsburg,Harlem,20,Thursday,0,Spring,0.72,Medium,1,1.3
Midtown,East Harlem,16,Wednesday,0,Spring,3.18,Medium,1,1.3
Kensington,Harlem,15,Tuesday,0,Spring,1.49,Low,1,1.0
Flatbush,Bedford-Stuyvesant,17,Monday,0,Winter,4.56,High,1,1.8
Upper West Side,Bedford-Stuyvesant,14,Sunday,1,Winter,1.83,Low,1,1.0
Murray Hill,Hell's Kitchen,7,Friday,0,Spring,2.55,Medium,2,1.3
Bedford-Stuyvesant,Fort Greene,2,Monday,0,Spring,2.7,Low,2,1.0
Harlem,Harlem,22,Monday,0,Winter,1.11,Low,2,1.0
Williamsburg,Harlem,4,Saturday,1,Summer,9.56,Low,1,1.0
Williamsburg,East Harlem,21,Saturday,1,Summer,13.54,Low,1,1.0
Murray Hill,Harlem,18,Wednesday,0,Spring,6.29,High,2,1.8
Clifton,Sheepshead Bay,21,Tuesday,0,Spring,3.83,Low,1,1.0
Hell's Kitchen,South Slope,18,Thursday,0,Winter,1.47,High,1,1.8
West Village,Bedford-Stuyvesant,3,Sunday,1,Spring,6.35,Low,1,1.0
Upper West Side,Kensington,6,Tuesday,0,Winter,4.64,Low,1,1.0
East Harlem,West Village,22,Saturday,1,Spring,6.64,Low,1,1.0
Upper West Side,West Village,9,Tuesday,0,Spring,2.14,High,1,1.8
Tottenville,Prince's Bay,19,Wednesday,0,Spring,25.9,High,1,1.8
East Harlem,Inwood,15,Saturday,1,Winter,1.52,Low,1,1.0
East Harlem,East Harlem,18,Friday,0,Winter,1.54,High,3,1.8
Flatlands,Bath Beach,13,Friday,0,Summer,2.6,Low,5,1.0
Lower East Side,East Harlem,21,Wednesday,0,Spring,3.49,Low,1,1.0
West Village,Harlem,7,Monday,0,Spring,2.5,Medium,1,1.3
Bedford-Stuyvesant,Park Slope,0,Saturday,1,Winter,2.07,Low,2,1.0
Bedford-Stuyvesant,East Village,19,Wednesday,0,Summer,2.51,High,6,1.8
Hell's Kitchen,East Harlem,20,Saturday,1,Winter,1.28,Medium,3,1.3
Upper West Side,Fort Greene,21,Saturday,1,Winter,0.95,Low,1,1.0
Bedford-Stuyvesant,East Harlem,13,Friday,0,Spring,1.58,Low,1,1.0
Harlem,Bedford-Stuyvesant,12,Friday,0,Spring,1.75,Low,1,1.0
Park Slope,Hell's Kitchen,21,Thursday,0,Spring,2.26,Low,1,1.0
Bedford-Stuyvesant,South Slope,22,Friday,0,Winter,2.34,Low,1,1.0
Crown Heights,Bedford-Stuyvesant,8,Tuesday,0,Spring,2.48,High,1,1.8
Port Richmond,Midwood,7,Thursday,0,Spring,1.75,Medium,1,1.3
Harlem,East Harlem,23,Friday,0,Spring,4.57,Low,1,1.0
Harlem,Chelsea,19,Wednesday,0,Spring,3.31,High,1,1.8
Bedford-Stuyvesant,East Harlem,9,Thursday,0,Spring,1.5,High,1,1.8
Harlem,Bedford-Stuyvesant,14,Wednesday,0,Winter,3.34,Low,1,1.0
East Harlem,Murray Hill,17,Tuesday,0,Spring,2.48,High,1,1.8
Bensonhurst,Far Rockaway,15,Thursday,0,Spring,7.61,Low,1,1.0
Harlem,West Village,18,Tuesday,0,Spring,3.84,High,1,1.8
Midtown,Harlem,17,Saturday,1,Winter,2.62,High,2,1.8
Upper West Side,Kensington,12,Sunday,1,Spring,15.76,Low,1,1.0
Harlem,Harlem,18,Saturday,1,Spring,1.28,High,1,1.8
Bedford-Stuyvesant,Bedford-Stuyvesant,20,Saturday,1,Spring,2.2,Medium,2,1.3
Bedford-Stuyvesant,Harlem,23,Tuesday,0,Spring,1.79,Low,1,1.0
West Village,Upper West Side,0,Thursday,0,Summer,2.66,Low,2,1.0
East Harlem,Harlem,14,Sunday,1,Winter,0.57,Low,1,1.0
Inwood,Park Slope,19,Thursday,0,Spring,3.85,High,1,1.8
Tottenville,Huguenot,21,Sunday,1,Spring,25.21,Low,1,1.0
Harlem,Chinatown,12,Sunday,1,Spring,3.2,Low,2,1.0
Williamsburg,South Slope,18,Sunday,1,Spring,7.37,High,2,1.8
Tottenville,Huguenot,13,Saturday,1,Spring,26.36,Low,4,1.0
Upper West Side,Harlem,20,Saturday,1,Spring,9.91,Medium,1,1.3
Upper West Side,Harlem,14,Wednesday,0,Spring,2.06,Low,1,1.0
Midtown,Harlem,9,Thursday,0,Summer,1.94,High,1,1.8
Murray Hill,Bedford-Stuyvesant,19,Thursday,0,Winter,1.61,High,1,1.8
Crown Heights,South Slope,8,Saturday,1,Spring,1.77,High,1,1.8
Flatbush,Midwood,11,Tuesday,0,Winter,0.8,Low,6,1.0
Bedford-Stuyvesant,Fort Greene,6,Wednesday,0,Winter,1.26,Low,1,1.0
Harlem,Harlem,8,Monday,0,Summer,3.01,High,1,1.8
Tottenville,Eltingville,6,Thursday,0,Spring,24.34,Low,1,1.0
